xml_id	resolved_sense	confidence	note
WZB_1vb_6_6	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_12rb_12_8	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_35vb_19_10	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_51ra_3_4	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_51ra_7_2	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_51ra_9_3	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_51rb_8_4	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_51rb_18_0	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_68va_9_6	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_68vb_15_1	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_69ra_12_1	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_69ra_13_5	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_90vb_27_2	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_96rb_23_4	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_106rb_3_3	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_112vb_31_1	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_112vb_34_2	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_113ra_6_1	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_113rb_6_1	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_113rb_10_1	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_113rb_14_7	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_177va_19_5	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_182va_2_4	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
WZB_212rb_15_0	lemma_4840_sense_20462	high	reht + hant context = spatial right-hand side (Verhältnis + Raum)
